Name,
1996/5/31,4450
1996/6/3,4380
1996/6/4,4360
1996/6/5,4320
1996/6/6,4360
1996/6/7,4290
1996/6/10,4290
1996/6/11,4220
1996/6/12,4240
1996/6/13,4260
1996/6/14,4350
1996/6/17,4300
1996/6/18,4230
1996/6/19,4260
1996/6/20,4290
1996/6/21,4340
1996/6/24,4340
1996/6/25,4360
1996/6/26,4380
1996/6/27,4330
1996/6/28,4360
1996/7/1,4330
1996/7/2,4390
1996/7/3,4400
1996/7/4,4410
1996/7/5,4410
1996/7/8,4370
1996/7/9,4340
1996/7/10,4360
1996/7/11,4370
1996/7/12,4370
1996/7/15,4330
1996/7/16,4280
1996/7/17,4280
1996/7/18,4280
1996/7/19,4270
1996/7/22,4260
1996/7/23,4210
1996/7/24,4210
1996/7/25,4200
1996/7/26,4210
1996/7/29,4230
1996/7/30,4220
1996/7/31,4190
1996/8/1,4260
1996/8/2,4350
1996/8/5,4340
1996/8/6,4400
1996/8/7,4440
1996/8/8,4340
1996/8/9,4370
1996/8/12,4420
1996/8/13,4400
1996/8/14,4380
1996/8/15,4380
1996/8/16,4500
1996/8/19,4500
1996/8/20,4580
1996/8/21,4610
1996/8/22,4580
1996/8/23,4570
1996/8/26,4620
1996/8/27,4710
1996/8/28,4740
1996/8/29,4660
1996/8/30,4600
1996/9/2,4590
1996/9/3,4580
1996/9/4,4580
1996/9/5,4560
1996/9/6,4590
1996/9/9,4610
1996/9/10,4590
1996/9/11,4630
1996/9/12,4660
1996/9/13,4780
1996/9/16,4800
1996/9/17,4860
1996/9/18,4850
1996/9/19,4860
1996/9/20,4950
1996/9/23,5020
1996/9/24,5050
1996/9/25,5060
1996/9/26,5180
1996/9/27,5450
1996/9/30,5480
1996/10/1,5550
1996/10/2,5920
1996/10/3,6130
1996/10/4,6390
1996/10/7,6340
1996/10/8,6090
1996/10/9,6150
1996/10/10,6020
1996/10/11,5960
1996/10/14,5960
1996/10/15,5960
1996/10/16,5830
1996/10/17,5850
1996/10/18,5760
1996/10/21,5650
1996/10/22,5870
1996/10/23,5960
1996/10/24,6000
1996/10/25,5970
1996/10/28,6000
1996/10/29,6010
1996/10/30,6010
1996/10/31,5890
1996/11/1,5910
1996/11/4,5910
1996/11/5,5790
1996/11/6,5840
1996/11/7,5820
1996/11/8,5840
1996/11/11,5960
1996/11/12,6000
1996/11/13,5940
1996/11/14,5920
1996/11/15,5970
1996/11/18,6010
1996/11/19,6050
1996/11/20,6050
1996/11/21,6160
1996/11/22,6210
1996/11/25,6110
1996/11/26,6000
1996/11/27,6010
1996/11/28,6130
1996/11/29,6190
1996/12/2,6160
1996/12/3,6110
1996/12/4,6130
1996/12/5,6200
1996/12/6,6100
1996/12/9,6010
1996/12/10,5990
1996/12/11,5960
1996/12/12,6150
1996/12/13,6210
1996/12/16,6250
1996/12/17,6170
1996/12/18,6230
1996/12/19,6250
1996/12/20,6350
1996/12/23,6410
1996/12/24,6440
1996/12/25,6440
1996/12/26,6480
1996/12/27,6610
1996/12/30,6620
1996/12/31,6690
1997/1/1,6690
1997/1/2,6840
1997/1/3,6880
1997/1/6,6880
1997/1/7,6840
1997/1/8,6740
1997/1/9,6600
1997/1/10,6600
1997/1/13,6520
1997/1/14,6480
1997/1/15,6390
1997/1/16,6400
1997/1/17,6470
1997/1/20,6450
1997/1/21,6370
1997/1/22,6330
1997/1/23,6300
1997/1/24,6250
1997/1/27,6200
1997/1/28,6260
1997/1/29,6320
1997/1/30,6370
1997/1/31,6420
1997/2/3,6400
1997/2/4,6370
1997/2/5,6430
1997/2/6,6390
1997/2/7,6410
1997/2/10,6410
1997/2/11,6410
1997/2/12,6390
1997/2/13,6520
1997/2/14,6640
1997/2/17,6610
1997/2/18,6680
1997/2/19,6680
1997/2/20,6650
1997/2/21,6700
1997/2/24,6640
1997/2/25,6610
1997/2/26,6680
1997/2/27,6720
1997/2/28,6710
1997/3/3,6620
1997/3/4,6590
1997/3/5,6510
1997/3/6,6340
1997/3/7,6240
1997/3/10,6260
1997/3/11,6210
1997/3/12,6060
1997/3/13,6100
1997/3/14,6390
1997/3/17,6380
1997/3/18,6280
1997/3/19,6280
1997/3/20,6230
1997/3/21,6280
1997/3/24,6250
1997/3/25,6310
1997/3/26,6340
1997/3/27,6340
1997/3/28,6340
1997/3/31,6330
1997/4/1,6320
1997/4/2,6250
1997/4/3,6150
1997/4/4,6130
1997/4/7,6180
1997/4/8,6200
1997/4/9,6220
1997/4/10,6250
1997/4/11,6240
1997/4/14,6170
1997/4/15,6230
1997/4/16,6240
1997/4/17,6300
1997/4/18,6310
1997/4/21,6330
1997/4/22,6340
1997/4/23,6320
1997/4/24,6300
1997/4/25,6320
1997/4/28,6270
1997/4/29,6240
1997/4/30,6240
1997/5/1,6240
1997/5/2,6370
1997/5/5,6450
1997/5/6,6530
1997/5/7,6500
1997/5/8,6500
1997/5/9,6590
1997/5/12,6590
1997/5/13,6610
1997/5/14,6630
1997/5/15,6680
1997/5/16,6630
1997/5/19,6550
1997/5/20,6560
1997/5/21,6650
1997/5/22,6690
1997/5/23,6750
1997/5/26,6830
1997/5/27,6860
1997/5/28,6890
1997/5/29,6850
1997/5/30,6860
1997/6/2,6860
1997/6/3,7040
1997/6/4,7150
1997/6/5,7250
1997/6/6,7240
1997/6/9,7300
1997/6/10,7250
1997/6/11,7260
1997/6/12,7350
1997/6/13,7540
1997/6/16,7640
1997/6/17,7630
1997/6/18,7740
1997/6/19,7840
1997/6/20,8010
1997/6/23,8190
1997/6/24,8190
1997/6/25,8390
1997/6/26,8570
1997/6/27,8800
1997/6/30,9270
1997/7/1,9040
1997/7/2,9130
1997/7/3,9370
1997/7/4,9470
1997/7/7,9520
1997/7/8,9360
1997/7/9,9260
1997/7/10,9350
1997/7/11,9450
1997/7/14,9520
1997/7/15,9260
1997/7/16,9220
1997/7/17,9170
1997/7/18,9100
1997/7/21,9120
1997/7/22,9260
1997/7/23,9490
1997/7/24,9490
1997/7/25,9720
1997/7/28,9690
1997/7/29,9480
1997/7/30,9410
1997/7/31,9470
1997/8/1,9440
1997/8/4,9240
1997/8/5,9280
1997/8/6,9450
1997/8/7,9510
1997/8/8,9340
